"dicer","diffcoex","ebcoexpress","ecf","entropy","ftgi","ggm-based","ldgm","magic","mindy","zscore"
0.16,0.0740740740740741,0.00172335600907029,0.0279823269513991,0.112359550561798,0.0888888888888889,0,0.0338983050847458,0,0,0.114285714285714
0,0,0.0018539976825029,0.0241448692152917,0.0625,0,0,0,0,0,0
0,0.0396039603960396,0.001695653170184,0.0306382978723404,0.105263157894737,0,0,0.0193236714975845,0,0,0.0476190476190476
0.212765957446809,0.0576923076923077,0.00122635296255081,0.0350194552529183,0.145454545454545,0.146341463414634,0.00155724002106854,0.07,0,0,0.19047619047619
0,0,0.00163643801991,0.0457142857142857,0,0,0,0.013986013986014,0,0,0
0.0198019801980198,0.0240963855421687,0.00134119224932058,0.014957264957265,0.0332409972299169,0,0,0.00433369447453954,0.0618556701030928,0,0.0344827586206897
0.0585585585585586,0.0642201834862385,0.000862281350086228,0.0136658694909464,0.0486223662884927,0,0,0.0397350993377483,0.0698412698412698,0,0.0426829268292683
0.0605577689243028,0.061503416856492,0.00150684931506849,0.0170976704424022,0.069432684165961,0.0694259012016021,0,0.0378071833648393,0.0896767466110532,0.0638002773925104,0.0847457627118644
0.0295983086680761,0.0192307692307692,0.0011051189107948,0.0138755980861244,0.1,0,0,0.0326086956521739,0.11864406779661,0,0.0638297872340425
0,0,0.000862482031624341,0.021018593371059,0.0416666666666667,0,0,0.0161290322580645,0,0,0
0.131147540983607,0.0298507462686567,0.000874930926505802,0.034,0.119047619047619,0,0,0.036697247706422,0.0882352941176471,0,0.0895522388059701
0,0,0.000501687494299006,0.0209267563527653,0,0,0,0.0256410256410256,0,0,0
0.0739219712525667,0.0431654676258993,0.000699249227145591,0.0217292892711634,0.0855397148676171,0.0675675675675676,0,0.0352564102564103,0.0647948164146868,0,0.0939226519337017
0,0,0.000777142857142857,0.00991080277502478,0,0,0,0,0,0,0
0.0930232558139535,0.0805369127516778,0.00159133335373504,0.0254041570438799,0.0687285223367698,0,0,0.0409556313993174,0.0816326530612245,0,0.0915032679738562
0.0619469026548673,0.0514705882352941,0.0031433155430405,0.0238768457430097,0.0467289719626168,0.0481927710843374,0,0.0203389830508475,0.06,0.0425531914893617,0.0648148148148148
0,0.0298507462686567,0.000855850348453356,0.0199275362318841,0.0298507462686567,0,0,0.00671140939597315,0,0,0.0625
0.0338983050847458,0.0145454545454545,0.00142512354901735,0.0302432610124918,0.0727272727272727,0.0434782608695652,0,0.0188679245283019,0.0655737704918033,0,0.0333333333333333
0.0608519269776876,0.0709677419354839,0.00105357425064531,0.0243221035332786,0.0698254364089776,0.0645161290322581,0,0.0223752151462995,0.0720461095100865,0.0677966101694915,0.06841046277666
0.111111111111111,0.0441176470588235,0.00196982232202655,0.035042735042735,0.0568720379146919,0.1,0,0.0331325301204819,0.116504854368932,0,0.110091743119266
0,0,0.000272121184634224,0.012847965738758,0,0,0,0,0,0,0
0.0718294051627385,0.0436363636363636,0.00270467075834807,0.0230885692657078,0.0784810126582278,0,0,0.00725952813067151,0.116129032258065,0,0.101769911504425
0,0,0.00127988298212735,0.0225563909774436,0,0,0,0.0303030303030303,0.0689655172413793,0,0
0.0648648648648649,0.0428849902534113,0.00126968004062976,0.0268209308440705,0.0612244897959184,0.0283687943262411,0,0.033175355450237,0.0557768924302789,0,0.0655737704918033
0.0333333333333333,0.0102040816326531,0.000787962928220329,0.0198150594451783,0.0731707317073171,0,0,0.0158730158730159,0,0,0.0303030303030303
0,0,0.000816326530612245,0.0205655526992288,0,0,0,0,0,0,0
0.087719298245614,0.0182876142975894,0.00128386708918801,0.0280788177339901,0.0802675585284281,0.0666666666666667,0,0.0149925037481259,0.0843373493975904,0,0.0645161290322581
0,0,0.000365430294171387,0.0440251572327044,0,0,0,0.173913043478261,0,0,0
