"dicer","diffcoex","ebcoexpress","ecf","entropy","ftgi","ggm-based","ldgm","magic","mindy","zscore"
0.126984126984127,0.0661157024793388,0.00231224355632127,0.0364697301239971,0.137254901960784,0.0689655172413793,0,0.0401606425702811,0,0,0.120481927710843
0,0,0.00222438481857361,0.032064128256513,0.0588235294117647,0,0,0,0,0,0
0,0.0350877192982456,0.00229074082558299,0.0404040404040404,0.0898876404494382,0,0,0.0181818181818182,0,0,0.0363636363636364
0.204081632653061,0.0566037735849057,0.00131713409787669,0.0375647668393782,0.140350877192982,0.13953488372093,0.00164876685978612,0.0693069306930693,0,0,0.181818181818182
0,0,0.00190891737114808,0.0538243626062323,0,0,0,0.0134228187919463,0,0,0
0.03125,0.0266666666666667,0.00317348377997179,0.0225749559082892,0.0360824742268041,0,0,0.00631578947368421,0.0628930817610063,0,0.0470588235294118
0.0712694877505568,0.072562358276644,0.000944306447970768,0.0163710777626194,0.0578778135048231,0,0,0.0384615384615385,0.08125,0,0.0514372163388805
0.080557707203718,0.0765864332603939,0.00209873163609818,0.0232063018948265,0.09531635168447,0.0968152866242038,0,0.0530973451327434,0.110552763819095,0.0845442536327609,0.111368909512761
0.0278884462151394,0.0175953079178886,0.00238552779802531,0.022808267997149,0.0892193308550186,0,0,0.028169014084507,0.0952380952380952,0,0.0487804878048781
0,0,0.000958267452445978,0.0226171243941842,0.0412371134020619,0,0,0.016,0,0,0
0.228571428571429,0.157894736842105,0.000966828572086278,0.0495540138751239,0.236559139784946,0,0,0.135593220338983,0.207792207792208,0,0.236842105263158
0,0.0298507462686567,0.000592862843461407,0.0267857142857143,0,0,0,0.0493827160493827,0,0,0
0.0909090909090909,0.0435510887772194,0.00139744414820263,0.032294236375869,0.0977443609022556,0.0634920634920635,0,0.0330827067669173,0.0833333333333333,0,0.109181141439206
0,0,0.00201018799826393,0.0332518337408313,0,0,0,0,0,0,0
0.0747663551401869,0.0705882352941176,0.0028136277448162,0.0397098129056892,0.0833333333333333,0,0,0.0382165605095541,0.0571428571428571,0,0.0804597701149425
0.051948051948052,0.0451977401129944,0.00809848806452666,0.047166921898928,0.0509803921568627,0.0363636363636364,0,0.0159151193633952,0.049645390070922,0.0340909090909091,0.0536912751677852
0,0.0229885057471264,0.0014667237059219,0.0355871886120996,0.0229885057471264,0,0,0.0125786163522013,0,0,0.0384615384615385
0.141176470588235,0.053156146179402,0.00238910201925065,0.059469941822883,0.0493827160493827,0.138888888888889,0,0.0588235294117647,0.160919540229885,0,0.13953488372093
0.0806293018682399,0.0890937019969278,0.00118478733067414,0.0310660562459124,0.0864345738295318,0.0860215053763441,0,0.030176026823135,0.0855172413793103,0.0831168831168831,0.0897560975609756
0.0979020979020979,0.0521172638436482,0.00286149322692429,0.0421052631578947,0.0650406504065041,0.0888888888888889,0,0.0371959942775393,0.101449275362319,0,0.0972222222222222
0,0,0.000634834262912075,0.029723991507431,0,0,0,0,0,0,0
0.0739081746920493,0.0505415162454874,0.00280840441023507,0.0238365493757094,0.0808080808080808,0,0,0.0108499095840868,0.115384615384615,0,0.105726872246696
0,0,0.0022843567251462,0.0257826887661142,0,0,0,0.025974025974026,0.0579710144927536,0,0
0.0778588807785888,0.0577617328519856,0.00177671123827544,0.040582726326743,0.0731319554848967,0.043956043956044,0,0.0431965442764579,0.0753424657534247,0,0.0751445086705202
0.0625,0.0151515151515152,0.000900461486511837,0.0237154150197628,0.0697674418604651,0,0,0.0307692307692308,0,0,0.0571428571428571
0,0,0.00172257479601088,0.032994923857868,0,0,0,0,0,0,0
0.100719424460432,0.0309446254071661,0.00165026587616894,0.0372093023255814,0.117283950617284,0.0521739130434783,0,0.0289017341040462,0.104712041884817,0,0.115702479338843
0,0,0.000365430294171387,0.0440251572327044,0,0,0,0.173913043478261,0,0,0
0.102564102564103,0.010443864229765,0.000898116596666403,0.0229445506692161,0.0606060606060606,0,0,0.00980392156862745,0,0,0.0573248407643312
0.11588785046729,0.0709759188846641,0.0014476528721433,0.0274377942165434,0.0606060606060606,0.0437956204379562,0,0.0345572354211663,0.105263157894737,0,0.112874779541446
0.0833333333333333,0.07,0.00171781057234325,0.0314658480429777,0.113207547169811,0.0681818181818182,0,0.0232558139534884,0.0934579439252336,0.0869565217391304,0.0884955752212389
0,0.0201438848920863,0.000983796296296296,0.0317460317460317,0.0429184549356223,0,0,0.0342857142857143,0.0375,0,0.0289855072463768
0,0.0650887573964497,0.000692520775623269,0.0172043010752688,0.0579710144927536,0,0,0.0298507462686567,0,0.0714285714285714,0.031496062992126
0.114942528735632,0.0737527114967462,0.00185174123409593,0.049255751014885,0.118251928020566,0,0,0.0869565217391304,0.0933333333333333,0.0680272108843537,0.140540540540541
0.0317460317460317,0.0310077519379845,0.0042568943179715,0.0303571428571429,0.0606060606060606,0,0,0.00391389432485323,0,0,0.0481927710843374
0.0949554896142433,0.0410958904109589,0.00138079589075143,0.043155765340526,0.125461254612546,0.150375939849624,0,0.0777777777777778,0.144230769230769,0,0.148837209302326
0.175,0.0875912408759124,0.0017555206504666,0.0323722812341932,0.0841423948220065,0.0769230769230769,0,0.0619469026548673,0.150537634408602,0,0.146788990825688
0.119551681195517,0.100108813928183,0.00217779029381395,0.0393051412528514,0.10561797752809,0.145833333333333,0,0.0497737556561086,0.153297682709447,0.120547945205479,0.144542772861357
0,0.037037037037037,0.0015630746598014,0.032258064516129,0,0,0,0.036697247706422,0.16,0,0.16
0.116402116402116,0.075801749271137,0.00162041725744379,0.0361400894187779,0.0848484848484849,0.103004291845494,0,0.0586080586080586,0.0941176470588235,0.0125786163522013,0.13013698630137
0.0804953560371517,0.0759013282732448,0.00208255857195984,0.0381564034756328,0.10671256454389,0.0436363636363636,0,0.0198412698412698,0.0873362445414847,0.0225988700564972,0.107142857142857
0.117171717171717,0.0516273849607183,0.00150037509377344,0.0389725420726306,0.108597285067873,0.0412371134020619,0,0.0622837370242214,0.1,0,0.128060263653484
0,0.0202020202020202,0.00133022946458264,0.0459770114942529,0,0,0,0,0,0,0
0.032695374800638,0.0251968503937008,0.00210727008178215,0.02016,0.0160284951024043,0,0,0.0326086956521739,0.0518999073215941,0.032258064516129,0.0614525139664804
0,0.0178571428571429,0.00184149345118891,0.0302035456336179,0.0683760683760684,0,0,0.0247678018575851,0.0625,0,0.0606060606060606
0.135076252723312,0.0477611940298507,0.00137564367110962,0.0295454545454545,0.0922431865828092,0.146067415730337,0,0.0420271940667491,0.139941690962099,0.0622568093385214,0.164305949008499
0.0839160839160839,0.0225225225225225,0.00201476705737345,0.0403726708074534,0.0506329113924051,0.0338983050847458,0,0.0471698113207547,0.0829015544041451,0,0.0571428571428571
0.0425531914893617,0.0769230769230769,0.00358887448908384,0.0237029233605478,0.0802005012531328,0.0380952380952381,0,0.00952380952380952,0.064,0,0.10062893081761
0.0170157068062827,0.19047619047619,0.00171379605826907,0.0196078431372549,0.0841121495327103,0,0,0.103092783505155,0,0,0.118518518518519
0.0898876404494382,0.0957446808510638,0.000272288781702194,0.0186854613997705,0.0878859857482185,0,0,0.0655737704918033,0.0551181102362205,0,0.102902374670185
0.118811881188119,0.114285714285714,0.000852595680181887,0.0321428571428571,0.147058823529412,0,0,0.0714285714285714,0.108695652173913,0,0.0991735537190083
0.058252427184466,0.0860215053763441,0.00169697255382585,0.0338686131386861,0.115044247787611,0,0,0.0286298568507157,0.0540540540540541,0,0.0707964601769911
0.0613496932515337,0.129496402877698,0.00139617627851465,0.0247269730063878,0.0843373493975904,0.0344827586206897,0,0.0772200772200772,0.101503759398496,0.0344827586206897,0.0907504363001745
0,0,0.000453802868034126,0.0516129032258065,0,0,0,0,0,0,0
0.0155306298533218,0.00963855421686747,0.00138292237980345,0.0194795312737787,0.0123329907502569,0.0327868852459016,0,0.0280898876404494,0.0163265306122449,0,0.0118483412322275
0.126126126126126,0.0925266903914591,0.00145603882770207,0.0446753246753247,0.0843881856540084,0.075,0,0.0714285714285714,0.075,0,0.11864406779661
0,0.0133333333333333,0.00123032056685881,0.0285285285285285,0.0418410041841004,0,0,0,0,0,0.0392156862745098
0,0.0065359477124183,0.0020340786406096,0.0236710963455149,0.0570071258907363,0,0,0.0303030303030303,0.015748031496063,0,0.0160642570281124
0.158415841584158,0.0947368421052632,0.00160828887342457,0.0393841747225206,0.103448275862069,0.181818181818182,0,0.0378787878787879,0.156862745098039,0.158415841584158,0.161616161616162
0.0882352941176471,0.0398009950248756,0.000969606563490584,0.0269938650306748,0.0794701986754967,0.129032258064516,0,0.00689655172413793,0,0,0.105263157894737
0,0.0136054421768707,0.000272096503559929,0.0126315789473684,0.0425531914893617,0,0,0,0,0,0
0.0743099787685775,0.0883977900552486,0.003280032800328,0.0211506987284401,0.0682643427741467,0.0484848484848485,0,0.0235294117647059,0.0973348783314021,0,0.0872913992297818
0.0823529411764706,0.0504854368932039,0.00224919671545876,0.0438981562774363,0.0710823909531502,0.0861244019138756,0,0.0162271805273834,0.0867579908675799,0.0467836257309941,0.0960334029227557
0.159090909090909,0.132231404958678,0.00119906841607674,0.0310492505353319,0.12,0,0,0.0175438596491228,0.113207547169811,0,0.135338345864662
0.0557377049180328,0.0760330578512397,0.00234057248100683,0.0330670629760357,0.0712788259958071,0.0208333333333333,0,0.0308880308880309,0.0871670702179177,0.0473372781065089,0.0896
0.0974212034383954,0.0733333333333333,0.00121609589784794,0.0247355088660408,0.0725750174459177,0.0769230769230769,0,0.0422535211267606,0.0682926829268293,0,0.0802407221664995
0.0821917808219178,0.0275862068965517,0.00198600558852735,0.0329706561160567,0.0632411067193676,0,0,0.0218978102189781,0.0677966101694915,0,0.0864197530864197
0.189189189189189,0.151898734177215,0.00143530859134714,0.0391517128874388,0.170731707317073,0,0,0.0754716981132075,0.175438596491228,0,0.186666666666667
0,0.134969325153374,0.00114272654553765,0.0304932735426009,0.143790849673203,0,0,0.042042042042042,0.0963855421686747,0,0.153846153846154
0.0606060606060606,0.0295566502463054,0.00223894196974825,0.0400363967242948,0.0645161290322581,0,0,0.0291060291060291,0.0648648648648649,0,0.08
0.0523897058823529,0.0824524312896406,0.00226812474686108,0.0228038351904639,0.0510018214936248,0.0374531835205993,0,0.0512820512820513,0.0504032258064516,0.0825035561877667,0.0656167979002625
0.0465116279069767,0.025,0.0015375041183146,0.0410539215686275,0.0314465408805031,0.0575539568345324,0,0.036101083032491,0.0387096774193548,0,0.0355871886120996
